True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
8,3,68,90,300,26,0.44970414201183434,0.08163265306122448,0.7272727272727273,0.14678899082568805,0.913946587537092,0.23529411764705882,0.7272727272727273,0.3555555555555555,10
15,1,131,95,227,31,0.6033057851239669,0.13636363636363635,0.9375,0.2380952380952381,0.8832116788321168,0.32608695652173914,0.9375,0.48387096774193544,15
17,4,235,83,131,35,0.7433628318584071,0.17,0.8095238095238095,0.2809917355371901,0.7914438502673797,0.3269230769230769,0.8095238095238095,0.4657534246575343,20
20,3,331,88,46,19,0.7941176470588235,0.18518518518518517,0.8695652173913043,0.3053435114503817,0.75,0.5128205128205128,0.8695652173913043,0.6451612903225806,25
