True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
41,0,190,141,512,101,0.6209677419354839,0.22527472527472528,1.0,0.36771300448430494,0.845565749235474,0.2887323943661972,1.0,0.44808743169398907,10
60,1,385,121,290,148,0.7848324514991182,0.3314917127071823,0.9836065573770492,0.4958677685950413,0.7014028056112225,0.28846153846153844,0.9836065573770492,0.4460966542750928,15
54,29,543,118,160,123,0.8024193548387096,0.313953488372093,0.6506024096385542,0.4235294117647059,0.5846994535519126,0.3050847457627119,0.6506024096385542,0.41538461538461546,20
78,39,709,110,60,65,0.8408119658119658,0.4148936170212766,0.6666666666666666,0.5114754098360655,0.5702479338842975,0.5454545454545454,0.6666666666666666,0.6,25
