True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
41,0,152,179,576,37,0.5188172043010753,0.18636363636363637,1.0,0.314176245210728,0.9434250764525994,0.5256410256410257,1.0,0.689075630252101,10
61,0,328,178,377,61,0.6860670194003528,0.25523012552301255,1.0,0.4066666666666667,0.8777555110220441,0.5,1.0,0.6666666666666666,15
66,17,495,166,233,50,0.7540322580645161,0.28448275862068967,0.7951807228915663,0.41904761904761906,0.8169398907103825,0.5689655172413793,0.7951807228915663,0.6633165829145728,20
92,25,647,172,97,28,0.7895299145299145,0.3484848484848485,0.7863247863247863,0.48293963254593175,0.78099173553719,0.7666666666666667,0.7863247863247863,0.7763713080168777,25
