True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
8,3,69,59,171,18,0.5539568345323741,0.11940298507462686,0.7272727272727273,0.20512820512820515,0.895,0.3076923076923077,0.7272727272727273,0.43243243243243246,10
16,0,127,66,105,19,0.6842105263157895,0.1951219512195122,1.0,0.326530612244898,0.8642857142857143,0.45714285714285713,1.0,0.6274509803921569,15
20,1,182,60,59,16,0.7680608365019012,0.25,0.9523809523809523,0.39603960396039606,0.8229166666666666,0.5555555555555556,0.9523809523809523,0.7017543859649122,20
18,5,211,63,33,10,0.7710437710437711,0.2222222222222222,0.782608695652174,0.34615384615384615,0.7727272727272727,0.6428571428571429,0.782608695652174,0.7058823529411765,25
