True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
39,3,59,99,296,30,0.49,0.2826086956521739,0.9285714285714286,0.4333333333333333,0.9103260869565217,0.5652173913043478,0.9285714285714286,0.7027027027027025,10
54,12,102,124,215,43,0.5342465753424658,0.30337078651685395,0.8181818181818182,0.4426229508196722,0.8302469135802469,0.5567010309278351,0.8181818181818182,0.6625766871165645,15
71,10,186,132,132,34,0.6441102756892231,0.3497536945812808,0.8765432098765432,0.5,0.8218623481781376,0.6761904761904762,0.8765432098765432,0.7634408602150536,20
72,15,276,143,43,22,0.6877470355731226,0.33488372093023255,0.8275862068965517,0.4768211920529801,0.756578947368421,0.7659574468085106,0.8275862068965517,0.7955801104972374,25
