Anomaly Detection Rate,Noise Ratio,Davies Bouldin Score,Silhouette Score,Calinski-Harabasz Index
0.0,0.0,0.5827783682898255,0.5978744187385207,277.51020545275225
0.0,0.0,0.4314764459796909,0.6160476913049842,433.80196585155267
0.0,0.0,0.37588656930741954,0.6615165849514003,914.9111067953797
0.0,0.0,0.4519381818716039,0.6233176567013186,1099.5980077799327
0.0,0.0,0.5267113223746975,0.5663325563851632,1142.2816376098
0.0,0.0,0.596352197844067,0.5167717214506544,1253.646242986249
0.0,0.0,0.601319126525812,0.5115389531230696,1348.1265599920139
0.0,0.0,0.6175781890160031,0.5078271137928874,1350.991553488036
0.0,0.0,0.6271130050155709,0.4882420281482964,1380.9114124870762
0.0,0.0,0.6508598435581114,0.47354870055929144,1433.6717078192175
0.0,0.0,0.6776245326546458,0.4458858305976621,1447.6272828186593
0.0,0.0,0.6940759554324742,0.44005884090178865,1488.2461264837573
0.0,0.0,0.6980095585701062,0.43323986768262085,1477.0290516327411
0.0,0.0,0.7255197101720459,0.4247842567999461,1461.1411246053797
0.0,0.0,0.6791670552749682,0.44187934023132336,1523.62146994073
0.0,0.0,0.7232577176361721,0.4120345090289248,1498.3923863498835
0.0,0.0,0.6323775612027647,0.46507670483258734,1542.0418113292983
0.0,0.0,0.6687407628828993,0.425687591463316,1581.9497968304397
0.0,0.0,0.6687407628828993,0.425687591463316,1581.9497968304397
0.0,0.0,0.6687407628828993,0.425687591463316,1581.9497968304397
0.0,0.0,0.6142337222993538,0.45803182401992837,1702.4518486524464
0.0,0.0,0.6822954816997563,0.40847398354893893,1573.1083392537184
0.0,0.0,0.6340954389165607,0.45528727012636666,1723.0616194282827
0.0,0.0,0.6203783515928655,0.4465134744251909,1767.175958826842
0.0,0.0,0.6479766501161497,0.4300339558359242,1748.1199287123095
0.0,0.0,0.607700038055536,0.441180223004381,1809.687852494631
0.0,0.0,0.6547900156711608,0.423000080959364,1744.2729991928554
0.0,0.0,0.628958607149907,0.44572274174369786,1898.4239675053923
0.0,0.0,0.6239608987231197,0.43458008657747116,1836.052757022338
0.0,0.0,0.6379258640398051,0.4274476774339583,1855.281787190117
0.0,0.0,0.5966087683715715,0.4304367247930354,1906.5862909609023
0.0,0.0,0.6309756470475673,0.42772190363496726,1955.2297912039178
0.0,0.0,0.6598936052756409,0.4121526228743375,1893.781243293999
0.0,0.0,0.6598936052756409,0.4121526228743375,1893.781243293999
0.0,0.0,0.6178632017633772,0.4160800983018243,1947.568581680312
0.0,0.0,0.6455145034323638,0.403457738761812,1942.9871247648978
0.0,0.0,0.5893971879805416,0.42243254091395466,2019.3460380793542
0.0,0.0,0.5904403283189091,0.43165880082993635,2038.556494132775
0.0,0.0,0.5583785842080422,0.44181139672755076,2037.3976410360092
0.0,0.0,0.5583785842080422,0.44181139672755076,2037.3976410360092
0.0,0.0,0.5904583310923284,0.4211640352161657,2065.678012798578
0.0,0.0,0.6035751126714519,0.4181496988468714,2150.4113737107164
0.0,0.0,0.6035751126714519,0.4181496988468714,2150.4113737107164
0.0,0.0,0.6035751126714519,0.4181496988468714,2150.4113737107164
0.0,0.0,0.5954116814169031,0.42388970532959,2219.8273043858817
0.0,0.0,0.5815177020815739,0.4262753863359981,2209.0791666813748
0.0,0.0,0.5815177020815739,0.4262753863359981,2209.0791666813748
0.0,0.0,0.5469067898721357,0.4231632243202948,2295.885202486232
