True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
8,3,34,94,184,5,0.302158273381295,0.0784313725490196,0.7272727272727273,0.14159292035398233,0.96,0.6153846153846154,0.7272727272727273,0.6666666666666667,10
16,0,67,126,117,7,0.39712918660287083,0.11267605633802817,1.0,0.20253164556962025,0.95,0.6956521739130435,1.0,0.8205128205128205,15
21,0,98,144,66,9,0.4524714828897338,0.12727272727272726,1.0,0.22580645161290322,0.90625,0.7,1.0,0.8235294117647058,20
20,3,115,159,36,7,0.45454545454545453,0.11173184357541899,0.8695652173913043,0.198019801980198,0.8484848484848485,0.7407407407407407,0.8695652173913043,0.7999999999999999,25
