True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
7,0,51,142,363,19,0.29,0.04697986577181208,1.0,0.08974358974358974,0.9511568123393316,0.2692307692307692,1.0,0.42424242424242425,10
10,0,116,161,267,31,0.43902439024390244,0.05847953216374269,1.0,0.11049723756906078,0.8993506493506493,0.24390243902439024,1.0,0.39215686274509803,15
14,0,200,175,172,28,0.5501285347043702,0.07407407407407407,1.0,0.13793103448275862,0.8691588785046729,0.3333333333333333,1.0,0.5,20
19,0,321,190,40,24,0.6415094339622641,0.09090909090909091,1.0,0.16666666666666669,0.7108433734939759,0.4418604651162791,1.0,0.6129032258064516,25
