True Anomaly,False Benign,Train True Benign,Train False Anomaly,Test True Benign,Test False Anomaly,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-score,Training Days
7,0,100,93,334,48,0.535,0.07,1.0,0.13084112149532712,0.8766066838046273,0.12727272727272726,1.0,0.22580645161290322,10
10,0,180,97,247,51,0.662020905923345,0.09345794392523364,1.0,0.17094017094017094,0.8344155844155844,0.16393442622950818,1.0,0.28169014084507044,15
14,0,287,88,147,53,0.7737789203084833,0.13725490196078433,1.0,0.24137931034482762,0.7523364485981309,0.208955223880597,1.0,0.345679012345679,20
18,1,425,86,40,24,0.8358490566037736,0.17307692307692307,0.9473684210526315,0.29268292682926833,0.6987951807228916,0.42857142857142855,0.9473684210526315,0.5901639344262295,25
